bh_bar,break_even_win_rate,control_mean,control_trades,edge,entry_distance,exit_stop,exit_target,exit_time,few_trades,max_hold_minutes,no_new_entry_after,no_reward,p,params_hash,reward,rule_mean,survives_fdr,t,trades,underpowered,volume_ratio_min,win_rate
0.03229166666666667,0.4166666666666667,-1.632800718356996e-05,631,6.90296937240565e-05,-0.008,5,0,565,False,5,15:40,False,0.38475733239242105,436daf55d211eea7,0.007,5.270168654048653e-05,False,0.8691641876694558,570,False,1.0,0.5035087719298246
0.1,0.4166666666666667,-4.2835639129349257e-05,456,3.4360351200369774e-07,-0.008,26,7,377,False,15,15:40,False,0.9980467864344079,940f873c0919eac3,0.007,-4.2492035617345606e-05,False,0.002447992619951837,431,False,1.0,0.4872389791183295
0.07500000000000001,0.4166666666666667,-0.00011938594286892139,312,-2.4304632081870774e-05,-0.008,47,19,206,False,30,15:40,False,0.9124138896418301,f0c993dbab8524ba,0.007,-0.00014369057495079208,False,-0.10999430729437329,309,False,1.0,0.4368932038834951
0.042708333333333334,0.4166666666666667,2.0843737275599726e-05,231,-0.00016870353177293282,-0.008,65,29,89,False,60,15:40,False,0.6002356833886915,7c99c2563e3be44e,0.007,-0.00014785979449733315,False,-0.5240616178886357,227,False,1.0,0.42290748898678415
0.03333333333333333,0.4166666666666667,-5.21141176102366e-05,193,-0.00031201972097550897,-0.008,76,41,26,False,120,15:40,False,0.4254032747671988,b2d733dd7bd52aa1,0.007,-0.0003641338385857455,False,-0.7970822320326063,195,False,1.0,0.41025641025641024
0.034375,0.4166666666666667,-2.092126303749614e-05,190,-0.0003245283217519676,-0.008,81,47,1,False,240,15:40,False,0.43397215868781897,26c2f2a933474f54,0.007,-0.0003454495847894635,False,-0.782412553303267,187,False,1.0,0.42245989304812837
nan,0.3125,5.0099558427045256e-05,125,0.0004832742316605984,-0.012,2,1,127,True,5,15:40,False,0.021202416646855984,58625b889a5205c1,0.011,0.0005333737900876436,False,2.30436047766787,130,True,1.0,0.5923076923076923
nan,0.3125,-0.00014052168681597882,106,0.0009611258828124676,-0.012,7,2,89,True,15,15:40,False,0.005489538171911976,b1c872f688c3ae0d,0.011,0.0008206041959964892,False,2.7768092702342644,106,True,1.0,0.5566037735849056
nan,0.3125,-0.0002639911752887401,83,0.0011071523156788651,-0.012,5,4,55,True,30,15:40,False,0.028113401181723285,a6e151ea9ef10e93,0.011,0.0008431611403901251,False,2.1957003070743,79,True,1.0,0.4430379746835443
nan,0.3125,7.758708669466516e-05,72,0.00014629239928109502,-0.012,16,6,28,True,60,15:40,False,0.8280315772668878,eb69395474cff501,0.011,0.0002238794859757601,False,0.21722682907430754,65,True,1.0,0.4153846153846154
nan,0.3125,-0.000130034051900307,66,-0.00010269100203282331,-0.012,23,10,9,True,120,15:40,False,0.8972825806132507,e78917802347af32,0.011,-0.00023272505393313013,False,-0.12909487072893902,60,True,1.0,0.3333333333333333
nan,0.3125,-0.00025982757943509774,65,0.00023460196221202097,-0.012,25,11,0,True,240,15:40,False,0.7818490099919441,cc5973d2bddb2159,0.011,-2.522561722307695e-05,False,0.27691026548911585,59,True,1.0,0.3389830508474576
nan,1.0,-1.5688406169354927e-05,7615,-1.8305986177499344e-06,-0.001,20,2086,5504,False,5,15:40,True,0.9100761696883776,aa596fddb155bf24,0.0,-1.751900478710491e-05,False,-0.11294246475714935,7610,True,1.2,0.5400788436268068
nan,1.0,-5.4328878676279556e-05,6044,2.2995638360276036e-06,-0.001,99,2708,3182,False,15,15:40,True,0.9303031191204942,7b1c4e057e1dcf8d,0.0,-5.202931484025163e-05,False,0.08746347216078279,6097,True,1.2,0.5894702312612761
nan,1.0,-6.426415080327455e-05,4712,-2.1459921867128355e-06,-0.001,176,2902,1504,False,30,15:40,True,0.9515585320760835,0c8b5d75b1fc3ead,0.0,-6.641014298998714e-05,False,-0.060749722338110906,4740,True,1.2,0.640084388185654
nan,1.0,-8.104804497444443e-05,3947,-8.642708926214773e-06,-0.001,288,2966,525,False,60,15:40,True,0.841340280495742,e95e97c74dd0d2db,0.0,-8.969075390065916e-05,False,-0.2001793961962734,3959,True,1.2,0.6832533468047487
