bh_bar,break_even_win_rate,control_mean,control_trades,edge,entry_distance,exit_stop,exit_target,exit_time,few_trades,max_hold_minutes,no_new_entry_after,no_reward,p,params_hash,reward,rule_mean,survives_fdr,t,trades,underpowered,volume_ratio_min,win_rate
0.03958333333333333,0.4166666666666667,-1.2149213892660152e-05,401,-0.00012116713455311306,-0.008,25,4,337,False,15,15:40,False,0.4307718566221762,4233b3950d12be8c,0.007,-0.00013331634844577304,False,-0.7878715282960556,391,False,1.2,0.4398976982097187
0.05520833333333334,0.4166666666666667,-2.1754586054621206e-05,294,-0.00013425220562781636,-0.008,42,16,189,False,30,15:40,False,0.5599797093528343,3be0c4b7cdc54adf,0.007,-0.00015600679168243753,False,-0.5828716460386082,288,False,1.2,0.4305555555555556
0.03125,0.4166666666666667,4.281449744175094e-05,214,-0.0003579376877612989,-0.008,57,27,87,False,60,15:40,False,0.2763570433220767,a0e10c39e857eee6,0.007,-0.00031512319031954804,False,-1.0885394214992044,217,False,1.2,0.4147465437788018
0.004166666666666667,0.4166666666666667,0.0002601881711258498,191,-0.0007403616987921152,-0.008,75,39,21,False,120,15:40,False,0.059419033317377794,50defbb0ffd27a48,0.007,-0.00048017352766626536,False,-1.885080033230372,189,False,1.2,0.38095238095238093
0.08229166666666667,0.4166666666666667,-0.0004199102733098936,185,-0.00010372049591961632,-0.008,80,45,1,False,240,15:40,False,0.8038933327668503,69cbc1b313fad44b,0.007,-0.0005236307692295097,False,-0.24831158933709266,182,False,1.2,0.3901098901098901
nan,0.3125,-2.8847503290226762e-05,96,0.0004118485740246168,-0.012,3,1,95,True,5,15:40,False,0.08553712512879169,8ff1931b3f2eb9ac,0.011,0.0003830010707343901,False,1.7194243854276239,99,True,1.2,0.5858585858585859
nan,0.3125,-0.00026594423995120235,90,0.0010037778512038337,-0.012,6,1,70,True,15,15:40,False,0.007870355366591204,e3d6c8bbf61c91d6,0.011,0.0007378336112526313,False,2.6575815193826355,88,True,1.2,0.5227272727272727
nan,0.3125,1.66786983895137e-05,73,0.0008412095384859351,-0.012,7,3,43,True,30,15:40,False,0.10966339651258225,c3e34f058462b371,0.011,0.0008578882368754488,False,1.5997079089303223,69,True,1.2,0.4927536231884058
nan,0.3125,-4.3022848996673015e-05,65,0.0008772661873852347,-0.012,10,7,22,True,60,15:40,False,0.22748299762148447,c5203f451e0c05ff,0.011,0.0008342433383885618,False,1.2068679622253184,57,True,1.2,0.45614035087719296
nan,0.3125,-0.0003743728698982639,62,0.0006110376289534678,-0.012,13,8,11,True,120,15:40,False,0.4426937762110144,423c9102607e709d,0.011,0.0002366647590552038,False,0.7676523096160159,52,True,1.2,0.4230769230769231
nan,0.3125,-0.00021162153905977655,58,0.0006690017975687749,-0.012,17,12,0,True,240,15:40,False,0.44750945179637897,58955080c7eb065c,0.011,0.0004573802585089984,False,0.7595736882392735,51,True,1.2,0.39215686274509803
nan,1.0,-8.876439324933562e-06,8625,5.89049051455941e-06,-0.001,15,2643,5685,False,5,15:55,True,0.6929094153135262,514131117b31bab9,0.0,-2.985948810374149e-06,False,0.3949098568415676,8697,True,1.0,0.5821547660112683
