session,signal_t_utc,signal_close,entry_t_utc,entry_price,exit_t_utc,exit_price,exit_reason,minutes_held,stop,target_at_exit,gross_return,net_return,ambiguous_exit
2021-11-30,2021-11-30T18:22:00Z,456.98,2021-11-30T18:23:00Z,456.95,2021-11-30T18:38:00Z,458.1,time,15,454.66525,458.89492831397996,0.0025166867272131176,0.0025166867272131176,False
2021-11-30,2021-11-30T20:25:00Z,456.37,2021-11-30T20:26:00Z,456.37,2021-11-30T20:41:00Z,456.68,time,15,454.08815,458.37014411761584,0.0006792733965861083,0.0006792733965861083,False
2021-12-01,2021-12-01T18:07:00Z,459.55,2021-12-01T18:08:00Z,459.56,2021-12-01T18:23:00Z,459.63,time,15,457.2622,461.72899381821816,0.0001523196100617834,0.0001523196100617834,False
2021-12-01,2021-12-01T18:42:00Z,459.19,2021-12-01T18:43:00Z,459.19,2021-12-01T18:58:00Z,459.08,time,15,456.89405,461.2370439195568,-0.00023955225505784892,-0.00023955225505784892,False
2021-12-01,2021-12-01T19:13:00Z,457.3434,2021-12-01T19:14:00Z,457.37,2021-12-01T19:29:00Z,458.69,time,15,455.08315,460.8244771154907,0.0028860659859632097,0.0028860659859632097,False
2021-12-01,2021-12-01T19:34:00Z,458.72,2021-12-01T19:35:00Z,458.71,2021-12-01T19:50:00Z,458.43,time,15,456.41645,460.64498195958845,-0.0006104074469707936,-0.0006104074469707936,False
2021-12-01,2021-12-01T19:52:00Z,458.06,2021-12-01T19:53:00Z,458.07,2021-12-01T20:08:00Z,456.125,time,15,455.77965,460.4557406814758,-0.004246075927260011,-0.004246075927260011,False
2021-12-01,2021-12-01T20:09:00Z,455.89,2021-12-01T20:10:00Z,455.89,2021-12-01T20:23:00Z,453.61055,stop,13,453.61055,460.0258115771768,-0.004999999999999994,-0.004999999999999994,False
2021-12-01,2021-12-01T20:25:00Z,453.55,2021-12-01T20:26:00Z,453.52,2021-12-01T20:41:00Z,454.49,time,15,451.25239999999997,459.2824724389583,0.0021388251896278607,0.0021388251896278607,False
2021-12-03,2021-12-03T14:52:00Z,455.93,2021-12-03T14:53:00Z,455.94,2021-12-03T15:08:00Z,454.17,time,15,453.6603,456.6608328269771,-0.0038820897486510986,-0.0038820897486510986,False
2021-12-03,2021-12-03T15:10:00Z,453.97,2021-12-03T15:11:00Z,453.95,2021-12-03T15:26:00Z,454.97,time,15,451.68025,455.8806032353228,0.002246943495979819,0.002246943495979819,False
2021-12-03,2021-12-03T15:35:00Z,453.59,2021-12-03T15:36:00Z,453.6,2021-12-03T15:51:00Z,452.14,time,15,451.332,455.2035732441612,-0.003218694885361632,-0.003218694885361632,False
2021-12-03,2021-12-03T15:53:00Z,452.62,2021-12-03T15:54:00Z,452.63,2021-12-03T16:09:00Z,451.89,time,15,450.36685,454.5839311643836,-0.0016348894240328946,-0.0016348894240328946,False
2021-12-03,2021-12-03T16:19:00Z,451.4268,2021-12-03T16:20:00Z,451.42,2021-12-03T16:35:00Z,453.44,time,15,449.16290000000004,454.11316495080325,0.004474768508262774,0.004474768508262774,False
2021-12-03,2021-12-03T16:41:00Z,452.23,2021-12-03T16:42:00Z,452.2495,2021-12-03T16:57:00Z,450.81,time,15,449.9882525,453.7302304090649,-0.0031829775378414116,-0.0031829775378414116,False
2021-12-03,2021-12-03T17:13:00Z,450.78,2021-12-03T17:14:00Z,450.79,2021-12-03T17:29:00Z,452.27,time,15,448.53605000000005,453.3657523939315,0.00328312518023905,0.00328312518023905,False
2021-12-03,2021-12-03T17:33:00Z,451.23,2021-12-03T17:34:00Z,451.21,2021-12-03T17:49:00Z,452.309,time,15,448.95394999999996,453.25991318958694,0.002435672968241055,0.002435672968241055,False
2021-12-03,2021-12-03T18:01:00Z,451.28,2021-12-03T18:02:00Z,451.28,2021-12-03T18:17:00Z,452.68,time,15,449.0236,453.14630552439723,0.0031022868285765694,0.0031022868285765694,False
